x,y,z,cluster,original_path
29.15059,-9.293639,-1.3414886,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双凤纹镜_新00180479_HD_rank3_std25.jpg
33.293194,-8.568867,0.77364314,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双凤纹镜_新00180479_HD_rank4_std26.jpg
13.535402,-1.4365098,-18.976805,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双禽纹镜_新00128066_HD_rank0_std10.jpg
13.704346,-1.6970611,-19.025867,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双禽纹镜_新00128066_HD_rank1_std12.jpg
13.662618,-1.7950207,-19.154333,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双禽纹镜_新00128066_HD_rank2_std13.jpg
14.487962,-2.0797062,-18.547752,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双禽纹镜_新00128066_HD_rank3_std14.jpg
2.6473267,11.257369,-10.782396,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双禽纹镜_新00128066_HD_rank4_std15.jpg
13.584637,-0.9160051,-11.951606,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双马纹方镜_新00155836_HD_rank0_std17.jpg
-0.6133723,6.7403097,5.663083,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双马纹方镜_新00155836_HD_rank1_std18.jpg
14.42658,-2.7788255,-11.640882,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双马纹方镜_新00155836_HD_rank2_std19.jpg
13.605953,-1.1302423,-12.000694,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双马纹方镜_新00155836_HD_rank3_std19.jpg
14.088485,-2.2128272,-11.898308,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\双马纹方镜_新00155836_HD_rank4_std19.jpg
21.511541,7.952071,8.609443,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\吴越国王鎏金塔_新00065944_HD_rank0_std29.jpg
22.141867,7.594519,3.7972975,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\吴越国王鎏金塔_新00065944_HD_rank1_std29.jpg
25.018324,-1.3767823,11.232431,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\吴越国王鎏金塔_新00065944_HD_rank2_std29.jpg
30.262934,-11.18409,6.379194,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\吴越国王鎏金塔_新00065944_HD_rank3_std30.jpg
18.450966,0.22793859,5.156356,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\吴越国王鎏金塔_新00065944_HD_rank4_std31.jpg
9.038552,19.704361,-9.577807,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\宝相花纹镜_新00180474_HD_rank0_std16.jpg
9.300068,19.775417,-9.469978,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\宝相花纹镜_新00180474_HD_rank1_std17.jpg
8.630306,20.313248,-10.017141,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\宝相花纹镜_新00180474_HD_rank2_std18.jpg
7.939491,19.611326,-10.866328,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\宝相花纹镜_新00180474_HD_rank3_std18.jpg
9.596546,22.569363,-9.285487,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\宝相花纹镜_新00180474_HD_rank4_std19.jpg
23.27164,12.499934,-7.442855,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\竹笆人物纹镜_新00107647_HD_rank0_std20.jpg
17.474451,16.273283,-16.186094,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\竹笆人物纹镜_新00107647_HD_rank1_std21.jpg
18.87372,-2.0859962,-11.183788,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\竹笆人物纹镜_新00107647_HD_rank2_std21.jpg
22.948948,12.956141,-7.512766,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\竹笆人物纹镜_新00107647_HD_rank3_std22.jpg
2.977505,28.483644,-1.9846001,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\竹笆人物纹镜_新00107647_HD_rank4_std22.jpg
-10.856521,16.097004,2.8393507,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118471_HD_rank0_std7.jpg
-4.7259035,9.5380745,11.273202,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118471_HD_rank1_std7.jpg
-11.118827,21.932764,6.320278,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118471_HD_rank2_std11.jpg
11.000768,1.3898971,-13.78193,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118471_HD_rank3_std12.jpg
-11.122812,21.94458,6.317606,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118471_HD_rank4_std12.jpg
14.1581335,26.679457,-2.1110132,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118472_HD_rank0_std11.jpg
5.615198,27.053707,-7.3049426,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118472_HD_rank1_std11.jpg
6.3291802,29.602304,-5.122196,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118472_HD_rank2_std13.jpg
16.117268,14.635318,-5.494801,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118472_HD_rank3_std16.jpg
6.470613,30.052355,-5.513023,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\素镜_新00118472_HD_rank4_std17.jpg
17.505047,20.758562,-11.86202,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\花卉纹镜_新00098734_HD_rank0_std14.jpg
9.99102,26.286983,-5.5235486,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\花卉纹镜_新00098734_HD_rank1_std15.jpg
16.575035,20.905273,-12.612652,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\花卉纹镜_新00098734_HD_rank2_std16.jpg
17.901512,20.64512,-11.588594,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\花卉纹镜_新00098734_HD_rank3_std18.jpg
18.223917,20.38631,-10.529937,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\花卉纹镜_新00098734_HD_rank4_std19.jpg
14.235526,16.125399,-8.597046,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\鹦鹉纹镜_新00117069_HD_rank0_std13.jpg
-4.287665,23.094618,-9.51669,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\鹦鹉纹镜_新00117069_HD_rank1_std14.jpg
